0x14ffd18de1,bayonetta_airshooter
0x0f10727892,bayonetta_ally1
0x0f897b2928,bayonetta_ally2
0x0ffe7c19be,bayonetta_ally3
0x0f60188c1d,bayonetta_ally4
0x0f171fbc8b,bayonetta_ally5
0x0f8e16ed31,bayonetta_ally6
0x1245cef03e,bayonetta_allyarm1
0x12dcc7a184,bayonetta_allyarm2
0x12abc09112,bayonetta_allyarm3
0x1242a33427,bayonetta_allyarm5
0x12dbaa659d,bayonetta_allyarm6
0x1817344991,bayonetta_allyarmbullet1
0x188e3d182b,bayonetta_allyarmbullet2
0x18f93a28bd,bayonetta_allyarmbullet3
0x147cc73b2a,bayonetta_ancientbow
0x1963061004,bayonetta_ancientbowarrow
0x104c5351a9,bayonetta_arrow1
0x10d55a0013,bayonetta_arrow2
0x171e0f9775,bayonetta_artisticpoint
0x10660880f0,bayonetta_arwing
0x14a05ccbf9,bayonetta_arwingshot
0x1b30bbc854,bayonetta_attackairf_bullet
0x12ded03844,bayonetta_auraball
0x1702788cb8,bayonetta_autoaimbullet
0x155a0ecfeb,bayonetta_autoreticle
0x0d5786f34a,bayonetta_axe
0x1434da90ad,bayonetta_background
0x12a218589d,bayonetta_backpack
0x168a4659c8,bayonetta_balanceboard
0x11988c8578,bayonetta_balloon
0x13253ebf0e,bayonetta_barreljet
0x14fc93dcb3,bayonetta_barreljets
0x0da470c4f9,bayonetta_bat
0x0f50c1d1e5,bayonetta_baton
0x105bbfe1ae,bayonetta_batten
0x0e157886dc,bayonetta_beam
0x0fde5b830e,bayonetta_beast
0x10008a1555,bayonetta_beetle
0x11f8e4b887,bayonetta_bigbird
0x15f203938d,bayonetta_bigbirdbase
0x13bf572ab4,bayonetta_bigpacman
0x124cd5848d,bayonetta_bindball
0x0e0451868e,bayonetta_bird
0x13ad6c8dd4,bayonetta_blackhole
0x112a65ed8a,bayonetta_blaster
0x185bc1dd71,bayonetta_blaster_bullet
0x1605704782,bayonetta_blasterchest
0x15471cb504,bayonetta_blasterhead
0x1558ed46dc,bayonetta_blasterwing
0x15a9b61567,bayonetta_blazepillar
0x12930f7aec,bayonetta_blizzard
0x0e3adce234,bayonetta_blue
0x1430b2a28f,bayonetta_bluefalcon
0x15beeca84d,bayonetta_blunderbuss
0x0e24e55197,bayonetta_bomb
0x10f1fd5816,bayonetta_bonnie
0x0e6f0f8bb1,bayonetta_book
0x131fe4b724,bayonetta_boomerang
0x14f88c648a,bayonetta_bosspackun
0x157af0dbf5,bayonetta_bottomshoot
0x0da3fab8cd,bayonetta_bow
0x122c0dbd0d,bayonetta_bowarrow
0x15c165bd83,bayonetta_bowlingball
0x0d3345a55c,bayonetta_box
0x10340ddbb8,bayonetta_breath
0x0f9b1734bf,bayonetta_broom
